Node_No,X,Y,Z,Total Deformation
1,0.02048,0,0.00121,0.020515713
2,0.02017,0,0.00401,0.020564751
3,0.025,0,0,0.025
4,0.02463,0,0.00427,0.024997396
5,0.016,0,-0.00153,0.016072987
6,0.016,0,0.0027,0.016226213
7,0.02462,0,-0.00435,0.025001338
8,0.016,0,0.011,0.019416488
9,0.01918,0,0.01604,0.02500308
10,0.01909,0,0.01016,0.021625302
11,0.02168,0,0.01246,0.025005479
12,0.01199,0,0.011,0.01627145
13,0.01337,0,0.0141,0.019431081
14,0.01969,0,0.00734,0.021013607
15,0.02351,0,0.00849,0.024996004
16,0.016,0,0.00693,0.01743631
17,-0.02164,0,0.01253,0.025005809
18,-0.01913,0,0.0161,0.025003338
19,-0.01814,0,0.01289,0.022253353
20,-0.01747,0,0.01463,0.02278679
21,-0.02349,0,0.00857,0.0250045
22,-0.016,0,0.011,0.019416488
23,-0.0144,0,0.01519,0.020930745
24,-0.01604,0,0.01918,0.02500308
25,0.01154,0,-0.0179,0.021297455
26,0.008,0,-0.01879,0.020422147
27,0.01167,0,-0.01418,0.018364675
28,0.00789,0,-0.01445,0.016463736
29,0.01529,0,-0.01435,0.020969182
30,0.01431,0,-0.01722,0.02238983
31,-0.00502,0,-0.01695,0.017677752
32,-0.00022,0,-0.01551,0.01551156
33,-0.00278,0,-0.0205,0.020687639
34,0.00041,0,-0.02014,0.020144173
35,0.00417,0,-0.01957,0.020009343
36,0.00394,0,-0.01488,0.015392791
37,0.00067,0,0.02105,0.02106066
38,0.00364,0,0.02188,0.022180712
39,0.00224,0,0.0173,0.017444415
40,0.00578,0,0.01989,0.02071281
41,0.0161,0,0.01913,0.025003338
42,0.01117,0,0.01575,0.019308843
43,0.00844,0,0.01751,0.019437945
44,0.00398,0,0.011,0.01169788
45,-0.00003,0,0.011,0.011000041
46,-0.00153,0,0.01596,0.016033169
47,-0.00301,0,0.02015,0.020373576
48,-0.00687,0,0.01908,0.020279135
49,-0.00533,0,0.01513,0.016041378
50,-0.01067,0,0.01757,0.020556113
51,-0.00894,0,0.01432,0.016881528
52,-0.01177,0,0.01335,0.017797623
53,-0.01312,0,-0.01471,0.019710873
54,-0.0161,0,-0.01913,0.025003338
55,-0.01589,0,-0.01354,0.020876391
56,-0.01918,0,-0.01604,0.02500308
57,0.01253,0,0.02164,0.025005809
58,0.00857,0,0.02349,0.0250045
59,0.00435,0,0.02462,0.025001338
60,0,0,0.025,0.025
61,-0.00427,0,0.02463,0.024997396
62,-0.00849,0,0.02351,0.024996004
63,-0.01246,0,0.02168,0.025005479
64,-0.01253,0,-0.02164,0.025005809
65,-0.00945,0,-0.01588,0.018479094
66,-0.00857,0,-0.02349,0.0250045
67,-0.00435,0,-0.02462,0.025001338
68,0,0,-0.025,0.025
69,0.00427,0,-0.02463,0.024997396
70,0.00849,0,-0.02351,0.024996004
71,0.01246,0,-0.02168,0.025005479
72,0.01604,0,-0.01918,0.02500308
73,0.01913,0,-0.0161,0.025003338
74,-0.016,0,-0.01,0.018867962
75,-0.02168,0,-0.01246,0.025005479
76,-0.016,0,-0.00593,0.017063555
77,-0.02351,0,-0.00849,0.024996004
78,-0.016,0,-0.0017,0.016090059
79,-0.02463,0,-0.00427,0.024997396
80,-0.016,0,0.00253,0.016198793
81,-0.025,0,0,0.025
82,-0.016,0,0.00677,0.017373339
83,-0.02462,0,0.00435,0.025001338
84,-0.01205,0,0.011,0.016315713
85,-0.00805,0,0.011,0.013630939
86,-0.00404,0,0.011,0.01171843
87,0.00798,0,0.011,0.013589717
88,0.016,0,-0.00577,0.017008613
89,0.02349,0,-0.00857,0.0250045
90,0.016,0,-0.01,0.018867962
91,0.02164,0,-0.01253,0.025005809
92,0.01205,0,-0.01,0.015658943
93,0.00805,0,-0.01,0.012837543
94,0.00404,0,-0.01,0.010785249
95,0.00003,0,-0.01,0.010000045
96,-0.00398,0,-0.01,0.010762918
97,-0.00798,0,-0.01,0.012793764
98,-0.01199,0,-0.01,0.015612818
